Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_peak,ch2_peak,peak_time
0.5459999999729916,5.545999999972992,Initial Baseline,623.1954642616288,617.5906594783339,,,
475.375,480.375,Baseline Window (5ug/ml / 5ug/ml),622.9962755405134,617.5906594783339,623.1423539590448,617.590659478334,452.43700000003446
662.5,667.5,Baseline Window (5ug/ml / 10ug/ml),622.9936280231232,617.5906594783339,623.1289676526873,617.590659478334,639.890000000014
1081.4529999999795,1086.4529999999795,Baseline Window (10ug/ml / 10ug/ml),622.9840318142421,617.5906594783339,623.1874795695488,617.590659478334,1058.5929999999937
1268.530999999959,1273.530999999959,Baseline Window (10ug/ml / 50ug/ml),623.003695875495,617.5906594783339,623.170460516179,617.590659478334,1245.8429999999937
1683.030999999959,1688.030999999959,Baseline Window (50ug/ml / 50ug/ml),623.0197108163794,617.5906594783339,623.5364407825643,617.590659478334,1660.3120000000345
1870.1870000000345,1875.1870000000345,Baseline Window (50ug/ml / 100ug/ml),623.0277492406473,617.5906594783339,623.5589887309669,617.590659478334,1847.405999999959
2224.0620000000345,2229.0620000000345,Baseline Window (100ug/ml / 100ug/ml),623.0592999830008,617.5906594783339,623.9417530158844,617.590659478334,2201.280999999959
2411.420999999973,2416.420999999973,Baseline Window (100ug/ml / 200ug/ml),623.079188831663,617.5906594783339,623.9560707564477,617.590659478334,2388.8120000000345
2765.280999999959,2770.280999999959,Baseline Window (200ug/ml / 200ug/ml),623.099724019548,617.5906594783339,624.4466415093775,617.590659478334,2742.592999999993
2952.295999999973,2957.295999999973,Baseline Window (200ug/ml / 1000ug/ml),623.2309002842605,617.5906594783339,624.445249715731,617.590659478334,2929.5779999999795
3281.7029999999795,3286.7029999999795,Baseline Window (1000ug/ml / 1000ug/ml),623.1452818401732,617.5906594783339,624.8006362826765,617.590659478334,3258.9529999999795
3407.905999999959,3412.905999999959,Baseline Window (1000ug/ml / 1500ug/ml),624.7873235924756,617.5906594783339,624.8747090844485,617.590659478334,3385.1870000000345
3730.3429999999935,3735.3429999999935,Baseline Window (1500ug/ml / 1500ug/ml),623.2681110117596,617.5906594783339,624.8744779532217,617.590659478334,3707.70299999998
3866.625,3871.625,Baseline Window (1500ug/ml / Final),624.8765645334609,617.5906594783339,624.9673750410269,617.590659478334,3843.9370000000345
4005.3120000000345,4010.3120000000345,Final Baseline,623.2571179048198,617.5906594783339,,,
